Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; GTB7.1; SLCC1; .NET CLR 2.0.50727; Media Center PC 5.0; InfoPath.2; .NET CLR 3.5.30729; .NET4.0C; .NET CLR 3.0.30729; AskTbFWV5/5.12.2.16749; 978803803)|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.1.21566/26.984; U; pt) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.1.24321/26.984; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.3; ko-kr) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[7572012100] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Dalvik/1.4.0 (Linux; U; Android 2.3.5; TripNMiUI Pyramid Build/S01031B.1.10.14-TripNRaVeR)|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-gb; pcdadr6350 Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[8704947881] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 3.2; ko-kr; SHW-M380W Build/HTJ85B) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
AppleCoreMedia/1.0.0.9A334 (iPod; U; CPU OS 5_0 like Mac OS X; en_us)|
Dalvik/1.4.0 (Linux; U; Android 2.3.7; SGH-I777 Build/GWK74)|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; PG86100 Build/MIUI)|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-au; Liquid Metal Build/FRG83G) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://support.acer.com/UAprofile/Acer_S100_Profile.xml
Mozilla/5.0 (BlackBerry; U; BlackBerry 9810; en) AppleWebKit/534.11  (KHTML, like Gecko) Version/7.0.0.317 Mobile Safari/534.11|
Mozilla/5.0 (Linux; U; Android 2.2.2; ko-kr; SCH-i909 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPad; CPU OS 5_0 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Mobile/9A334 Zite/1.2|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.20952/26.984; U; es) Presto/2.8.119 Version/10.54|
Opera/9.50 (J2ME/MIDP; Opera Mini/4.2.19923/25.852; U; es)|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.13685/26.984; U; ar) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/Telstra;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (m.arce02â?¥; U; CPU iPhone OS 4_3_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8G4 Safari/6533.18.5|
Mozilla/5.0 (Linux; U; Android 3.2; de-de; Sony Tablet S Build/THMAS11000) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[2012806883] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/5.18487/26.984; U; es) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.13907/26.984; U; es) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.2; ru-ru; SonyEricssonLT15i Build/3.0.A.2.184) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.0.2;FBSS/2; FBCR/AT|
Opera/9.80 (BREW; Opera Mini/5.16/24.1029; U; en) Presto/2.5.25 480X800 LG VX11000H-U660|
Mozilla/5.0 (Linux; U; Android 2.3.4; es-es; MT11i Build/4.0.1.A.0.283) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Blackberry8520/5.0.0.681 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/298|http://www.blackberry.net/go/mobile/profiles/uaprof/8520_80211g/4.6.1.rdf
Mozilla/5.0 (Linux; U; Android 2.3.7; en-us; SGH-I777 Build/GWK74) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.2.1;FBSS/2; FBCR/Carrier;FBID/phone;FBLC/de_DE;FBSF/2.0]|
Opera/9.80 (S60; SymbOS; Opera Mobi/SYB-1107071604; U; sr) Presto/2.8.149 Version/11.10|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/2; FBCR/AT|
Opera/9.80 (Android 2.1-update1; Linux; Opera Mobi/ADR-1110071847; U; es-ES) Presto/2.9.201 Version/11.50|http://wap1.huawei.com/uaprof/HuaweiU8230v100WCDMAEclair.xml
BlackBerry9300/5.0.0.758 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/136|http://www.blackberry.net/go/mobile/profiles/uaprof/9300_umts/5.0.0.rdf
Mozilla/5.0 (Linux; U; Android 1.6; fr-fr; HTC Tattoo Build/DRC79) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1|http://www.htcmms.com.tw/Android/Common/Tattoo/ua-profile.xml
SAMSUNG-GT-C5010E/C5010EZHKE1 NetFront/3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[8068918312] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (BlackBerry; U; BlackBerry 9780; pl) AppleWebKit/534.8+ (KHTML, like Gecko) Version/6.0.0.576 Mobile Safari/534.8+|http://www.blackberry.net/go/mobile/profiles/uaprof/9780/6.0.0.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0;FBBV/4000.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/1; FBCR/AT|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; Nexus One Build/MIUI)|
Opera/9.80 (BlackBerry; Opera Mini/4.3.25172/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.4; en-us; HTC Glacier Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1 BingWeb/2.1.570.20110929|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.10247/26.984; U; tr) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.1-update1; nl-nl; GT-I5500 Build/ERE27) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.22371/26.984; U; en) Presto/2.8.119 Version/10.54n/10.54|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/Etisalat;FBID/phone;FBLC/ar_AR;FBSF/2.0]|
Mozilla/5.0 (BlackBerry; U; BlackBerry 9900; en-GB) AppleWebKit/534.11+ (KHTML, like Gecko) Version/7.0.0.440 Mobile Safari/534.11+|
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,1;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.1;FBSS/1; FBCR/;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Dalvik/1.5.1 (Linux; U; Android 3.2; tegav2 Build/HTJ85B)|
Dalvik/1.4.0 (Linux; U; Android 2.3.3; XT316 Build/GRI40)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPhone1,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.0;FBSS/1; FBCR/AT|
Opera/9.80 (J2ME/MIDP; Opera Mini/5.22371/26.984; U; en) Presto/2.8.119 Version/10.54544|
Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,2;FBMD/iPad;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/vodafoneUK;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Nokia6230/2.0 (03.15) Profile/MIDP-2.0 Configuration/CLDC-1.1 (compatible; GROUP_ID=PG2100-Fitel/VER=1.00/BROWSER=ObigoQ03C/TCPIP=1.00/PIAFS=3.02C/MELODY=F/PSID=075103571/PSNO= 115120901124)|http://nds1.nds.nokia.com/uaprof/N6230r100.xml
Opera/9.00 (Nintendo Wii; U; ; 1038-58; Wii Internet Channel/1.0; en)|
Mozilla/5.0 (Linux; U; Android 2.1-update1; en-sk; HTC_Wildfire_A3333 Build/ERE27) AppleWebKit/530.17 (KHTML, like Gecko) Version/4.0 Mobile Safari/530.17|http://www.htcmms.com.tw/Android/Common/Wildfire/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; SonyEricssonSK17iv Build/4.0.A.2.335) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (P-DOG ;-); U; CPU iPhone OS 4_2_1 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148 Safari/6533.18.5|
Mozilla/5.0 (Linux; U; Android 2.3.3; de-de; SonyEricssonST15i Build/4.0.A.2.368) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (BlackBerry; Opera Mini/4.3.26549/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.3; ru-; DROID2 Build/4.5.1_57_DR2-31) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
BlackBerry9000/5.0.0.510 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/179|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Mozilla/5.0 (Linux; U; Android 2.3.3; en-bg; HTC_WildfireS_A510e Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG76/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[4043302300] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.9800/26.984; U; es) Presto/2.8.119 Version/10.54|
Opera/9.80 (BlackBerry; Opera Mini/5.1.21216/26.984; U; en) Presto/2.8.119 Version/10.54|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; HTC Sensation kingdroid v7 sense 3.5 Build/GRJ90)|
Mozilla/5.0 (SymbianOS/9.4; Series60/5.0 NokiaC6-00.1/41.2.010; Profile/MIDP-2.1 Configuration/CLDC-1.1) AppleWebKit/533.4 (KHTML, like Gecko) NokiaBrowser/7.3.1.31 3gpp-gba|
Mozilla/5.0 (Linux; U; Android 3.0.1; en-gb; GtabComb Build/HRI66) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
NokiaN97/UC Browser7.9.0.102/50/351/UCWEB|http://nds1.nds.nokia.com/uaprof/NN97r100-2G.xml
Nokia7230/5.0 (10.82) Profile/MIDP-2.1 Configuration/CLDC-1.1 Mozilla/5.0 AppleWebKit/420  (KHTML, like Gecko) Safari/420|http://nds1.nds.nokia.com/uaprof/N7230r100.xml
Dalvik/1.5.1 (Linux; U; Android 3.2; streak7 Build/HTJ85B)|
Dalvik/1.4.0 (Linux; U; Android 2.3.4; Galaxy5 Build/GRI40)|http://wap.samsungmobile.com/uaprof/GT-i5700.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.2; Liquid Build/FRG83G)|http://support.acer.com/UAprofile/Acer_S100_Profile.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_1 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone1,2;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.1;FBSS/1; FBCR/OrangeUK;FBID/phone;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (Linux; U; Android 2.3.4; da-dk; HTC Sensation Z710e Build/GRJ22) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2; zh-; GT-I9000 Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://wap.samsungmobile.com/uaprof/GT-i9000.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; es-us; SCH-M828C[2563053682] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 1.6; es-us; T-Mobile myTouch 3G Build/DMD64) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1|
BlackBerry8900/5.0.0.1067 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/222|http://www.blackberry.net/go/mobile/profiles/uaprof/8900_80211g/4.6.1.rdf
Mozilla/5.0 (Linux; U; Android 2.3.4; ko-kr; GT-S5830L Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.18887/26.984; U; es) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.2.16402/26.984; U; fr) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (compatible; OSS/1.0; Chameleon; Linux) U9/R6632_G_81.11.1AI BER/2.0 Profile/MIDP-2.0 Configuration/CLDC-1.1|
Dalvik/1.4.0 (Linux; U; Android 2.3.5; M860 Build/GRJ90)|
Mozilla/5.0 (Linux; U; Android 2.3.3; de-at; SonyEricssonST18i Build/4.0.A.2.368) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.3.4; en-gb; GT-I9100G Build/GINGERBREAD) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG863/ua-profile.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[5178030618] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[2055206767] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_2 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.2;FBSS/2; FBCR/Etisalat;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; en-us; DROID X2 Build/4.5.1_57_DX5-32) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Opera/9.80 (J2ME/MIDP; Opera Mini; U; es) Presto/2.8.119 Version/10.54119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.3.3; de-ch; HTC Vision Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Dalvik/1.5.0 (Linux; U; Android 3.0.1; Flashback 7.2 Build/HRI66)|
Mozilla/5.0 (Linux; U; Android 3.0.1; zh-tw; A501 Build/HRI66) AppleWebKit/534.13 (KHTML, like Gecko) Version/4.0 Safari/534.13|
Mozilla/5.0 (iPad; U; CPU iPhone OS 5_0 like Mac OS X; ar_AR) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad1,1;FBMD/iPad;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/Carrier;FBID/tablet;FBLC/ar_AR;FBSF/1.0]|
BlackBerry9000/5.0.0.743 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/205|http://www.blackberry.net/go/mobile/profiles/uaprof/9000/4.6.0.rdf
Mozilla/5.0 (iPad; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPad2,2;FBMD/iPad;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/Carrier;FBID/tablet;FBLC/en_US;FBSF/1.0]|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; de_DE) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/1; FBCR/Telekom.de;FBID/phone;FBLC/de_DE;FBSF/1.0]|
LG-GW300/V100 Obigo/WAP2.0 Profile/MIDP-2.0 ConfiguraET_SessionId=haio0r232vbh0yfyiorxrrvl|http://gsm.lge.com/html/gsm/LG-GW300.xml
SAMSUNG-GT-B3210/1.0 Release/10.19.2009 Browser/NetFront3.5 Profile/MIDP-2.0 Configuration/CLDC-1.1/*MzU3Nzk3MDM5MTM2MzEy|http://wap.samsungmobile.com/uaprof/GT-B3210UAProf.xml
Opera/9.80 (iPhone; Opera Mini/6.1.15738/26.984; U; ar) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 2.2.2; es-us; SCH-M828C[2242450905] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/Etisalat;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.3; fi-fi; Desire HD Build/GRI40) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www.htcmms.com.tw/Android/Common/PG88/ua-profile.xml
Mozilla/5.0 (Series40; NokiaC3-00/08.65; Profile/MIDP-2.1 Configuration/CLDC-1.1) Gecko/20100401 S40OviBrowser/1.4.0.34.8|http://nds1.nds.nokia.com/uaprof/NokiaC3-00r100.xml
RT320X240/M.RF4700201.M01001.V1.0/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.0 RT320X240/M.RF4700201.M01001.V1.0/WAP2.0 Profile/MIDP-2.0 Configuration/CLDC-1.0|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/2; FBCR/Etisalat;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 2.3.5; en-us; MB865 Build/5.5.1-175_EDFFW1-16) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (iPad; U; CPU OS 3_2_2 like Mac OS X; en-us) AppleWebKit/531.21.10 (KHTML, like Gecko) Mobile/7B500 Installous|
Dalvik/1.2.0 (Linux; U; Android 2.2.2; MB525 Build/3.4.2-108_JDNL-2_R01)|http://uaprof.motorola.com/phoneconfig/MotoMB525/profile/MotoMB525.rdf
BlackBerry9100/5.0.0.783 Profile/MIDP-2.1 Configuration/CLDC-1.1 VendorID/611|http://www.blackberry.net/go/mobile/profiles/uaprof/9100/4.6.0.rdf
Opera/9.80 (iPad; Opera Mini/6.1.15738/26.984; U; ru) Presto/2.8.119 Version/10.54|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.9800/26.984; U; en) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Welcome 2 Stunnaville; U; CPU iPhone OS 4_3_3 like Mac OS X; en-us) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8J2 Safari/6533.18.5|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_3 like Mac OS X; da_DK) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/3.5a;FBBV/3500;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.3;FBSS/2; FBCR/TELIA;FBID/phone;FBLC/da_DK]|
Mozilla/5.0 (Linux; U; Android 2.2.2; es-us; MB612 Build/KRNS-X4-1.1.10) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 2.1-update1; fr-fr; GT-I5800 Build/ECLAIR) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.samsungmobile.com/uaprof/GT-i5800.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.1; ckt16_a10y Build/MASTER)|http://gsm.lge.com/html/gsm/P990-M3-D2.xml
Opera/9.80 (BlackBerry; Opera Mini/5.1.22303/26.984; U; ar) Presto/2.8.119 Version/10.54|
Mozilla/5.0 (Linux; U; Android 1.6; fr-fr; X10i Build/R2BA026) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|http://wap.sonyericsson.com/UAprof/X10iR101.xml
Mozilla/5.0 (Linux; U; Android 2.2.2; zh-cn; SGH-T589R Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
Mozilla/5.0 (Linux; U; Android 1.6; fr-fr; E130 Build/Donut) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20091123)|
Opera/9.80 (Android 2.2; Linux; Opera Tablet/ADR-1110071847; U; it) Presto/2.9.201 Version/11.50|
Mozilla/5.0 (Linux; U; Android 2.3.3; ms-my; SonyEricssonSK17a Build/4.0.A.2.335) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|
Mozilla/5.0 (Linux; U; Android 2.2.2; en-us; SCH-M828C[5095461741] Build/FROYO) AppleWebKit/533.1 (KHTML, like Gecko) Version/4.0 Mobile Safari/533.1|http://www-ccpp.tcl-ta.com/files/ALCATEL_one_touch_908.xml
SAMSUNG-GT-S3653/S3653JPJA2 SHP/VPP/R5 Jasmine/1.0 Nextreaming SMM-MMS/1.2.0 profile/MIDP-2.1 configuration/CLDC-1.1|http://wap.samsungmobile.com/uaprof/GT-S3653.rdf
Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_3_5 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone3,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/4.3.5;FBSS/2; FBCR/Mobinil;FBID/phone;FBLC/en_US;FBSF/2.0]|
Mozilla/5.0 (Linux; U; Android 1.6; de-de; SonyEricssonE10i Build/1.2.A.1.174) AppleWebKit/528.5  (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1|http://wap.sonyericsson.com/UAprof/E10iR102.xml
Dalvik/1.2.0 (Linux; U; Android 2.2.1; A853 Build/SHLA_U2_05.12.0)|
Mozilla/5.0 (iPhone; U; CPU iPhone OS 5_0 like Mac OS X; en_US) AppleWebKit (KHTML, like Gecko) Mobile [FBAN/FBForIPhone;FBAV/4.0.2;FBBV/4020.0;FBDV/iPhone2,1;FBMD/iPhone;FBSN/iPhone OS;FBSV/5.0;FBSS/1; FBCR/Etisalat;FBID/phone;FBLC/en_US;FBSF/1.0]|
Opera/9.80 (J2ME/MIDP; Opera Mini/4.1.13907/26.984; U; ru) Presto/2.8.119 Version/10.54|
